model,config,split,accuracy,precision_hallucinated,recall_hallucinated,f1_hallucinated,f1_not_hallucinated,f1_macro
Random Forest,"n_estimators=100, max_depth=None, min_samples_leaf=3, class_weight=None",validation,0.8479,0.8584,0.8255,0.8416,0.8537,0.8477
Random Forest,"n_estimators=100, max_depth=None, min_samples_leaf=3, class_weight=None",test,0.7836,0.7538,0.7568,0.7553,0.8061,0.7807
Random Forest,"n_estimators=100, max_depth=None, min_samples_leaf=3, class_weight=balanced",validation,0.8542,0.8667,0.8298,0.8478,0.86,0.8539
Random Forest,"n_estimators=100, max_depth=None, min_samples_leaf=3, class_weight=balanced",test,0.7871,0.7617,0.7529,0.7573,0.8103,0.7838
Random Forest,"n_estimators=100, max_depth=None, min_samples_leaf=5, class_weight=None",validation,0.8708,0.8811,0.8511,0.8658,0.8755,0.8707
Random Forest,"n_estimators=100, max_depth=None, min_samples_leaf=5, class_weight=None",test,0.7922,0.7645,0.7645,0.7645,0.814,0.7893
Random Forest,"n_estimators=100, max_depth=None, min_samples_leaf=5, class_weight=balanced",validation,0.8479,0.8522,0.834,0.843,0.8525,0.8478
Random Forest,"n_estimators=100, max_depth=None, min_samples_leaf=5, class_weight=balanced",test,0.7888,0.7586,0.7645,0.7615,0.8104,0.786
Random Forest,"n_estimators=300, max_depth=4, min_samples_leaf=1, class_weight=None",validation,0.8646,0.8696,0.8511,0.8602,0.8687,0.8645
Random Forest,"n_estimators=300, max_depth=4, min_samples_leaf=1, class_weight=None",test,0.7853,0.7588,0.7529,0.7558,0.8085,0.7822
Random Forest,"n_estimators=300, max_depth=4, min_samples_leaf=1, class_weight=balanced",validation,0.8562,0.8547,0.8511,0.8529,0.8595,0.8562
Random Forest,"n_estimators=300, max_depth=4, min_samples_leaf=1, class_weight=balanced",test,0.7819,0.7453,0.7683,0.7567,0.8025,0.7796
Random Forest,"n_estimators=300, max_depth=4, min_samples_leaf=3, class_weight=None",validation,0.8625,0.869,0.8468,0.8578,0.8669,0.8623
Random Forest,"n_estimators=300, max_depth=4, min_samples_leaf=3, class_weight=None",test,0.7836,0.7558,0.7529,0.7544,0.8067,0.7805
Random Forest,"n_estimators=300, max_depth=4, min_samples_leaf=3, class_weight=balanced",validation,0.8604,0.8621,0.8511,0.8565,0.8641,0.8603
Random Forest,"n_estimators=300, max_depth=4, min_samples_leaf=3, class_weight=balanced",test,0.7819,0.7472,0.7645,0.7557,0.8031,0.7794
Random Forest,"n_estimators=300, max_depth=4, min_samples_leaf=5, class_weight=None",validation,0.8646,0.8696,0.8511,0.8602,0.8687,0.8645
Random Forest,"n_estimators=300, max_depth=4, min_samples_leaf=5, class_weight=None",test,0.7853,0.7568,0.7568,0.7568,0.8079,0.7823
Random Forest,"n_estimators=300, max_depth=4, min_samples_leaf=5, class_weight=balanced",validation,0.8562,0.8547,0.8511,0.8529,0.8595,0.8562
Random Forest,"n_estimators=300, max_depth=4, min_samples_leaf=5, class_weight=balanced",test,0.7802,0.7425,0.7683,0.7552,0.8006,0.7779
Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=1, class_weight=None",validation,0.8625,0.8722,0.8426,0.8571,0.8675,0.8623
Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=1, class_weight=None",test,0.799,0.7765,0.7645,0.7704,0.8212,0.7958
Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=1, class_weight=balanced",validation,0.8625,0.8756,0.8383,0.8565,0.868,0.8623
Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=1, class_weight=balanced",test,0.8007,0.7731,0.7761,0.7746,0.8214,0.798
Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=3, class_weight=None",validation,0.8625,0.8722,0.8426,0.8571,0.8675,0.8623
Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=3, class_weight=None",test,0.8058,0.7843,0.7722,0.7782,0.8273,0.8027
Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=3, class_weight=balanced",validation,0.8625,0.869,0.8468,0.8578,0.8669,0.8623
Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=3, class_weight=balanced",test,0.799,0.7743,0.7683,0.7713,0.8207,0.796
Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=5, class_weight=None",validation,0.8708,0.8777,0.8553,0.8664,0.875,0.8707
Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=5, class_weight=None",test,0.7973,0.7734,0.7645,0.7689,0.8194,0.7942
Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=5, class_weight=balanced",validation,0.8646,0.8664,0.8553,0.8608,0.8682,0.8645
Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=5, class_weight=balanced",test,0.799,0.7722,0.7722,0.7722,0.8201,0.7962
Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=1, class_weight=None",validation,0.8333,0.8444,0.8085,0.8261,0.84,0.833
Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=1, class_weight=None",test,0.7939,0.7695,0.7606,0.765,0.8164,0.7907
Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=1, class_weight=balanced",validation,0.8438,0.854,0.8213,0.8373,0.8497,0.8435
Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=1, class_weight=balanced",test,0.8007,0.7795,0.7645,0.7719,0.823,0.7975
Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=3, class_weight=None",validation,0.8396,0.8465,0.8213,0.8337,0.8451,0.8394
Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=3, class_weight=None",test,0.7905,0.7615,0.7645,0.763,0.8122,0.7876
Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=3, class_weight=balanced",validation,0.8417,0.8502,0.8213,0.8355,0.8474,0.8414
Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=3, class_weight=balanced",test,0.7905,0.7615,0.7645,0.763,0.8122,0.7876
Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=5, class_weight=None",validation,0.8604,0.8684,0.8426,0.8553,0.8652,0.8602
Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=5, class_weight=None",test,0.7939,0.7674,0.7645,0.766,0.8158,0.7909
Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=5, class_weight=balanced",validation,0.8646,0.8664,0.8553,0.8608,0.8682,0.8645
Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=5, class_weight=balanced",test,0.7905,0.7615,0.7645,0.763,0.8122,0.7876
Gradient Boosting,"n_estimators=100, learning_rate=0.03, max_depth=2",validation,0.8583,0.8711,0.834,0.8522,0.864,0.8581
Gradient Boosting,"n_estimators=100, learning_rate=0.03, max_depth=2",test,0.7939,0.7851,0.7336,0.7585,0.8202,0.7893
Gradient Boosting,"n_estimators=100, learning_rate=0.03, max_depth=3",validation,0.8583,0.8711,0.834,0.8522,0.864,0.8581
Gradient Boosting,"n_estimators=100, learning_rate=0.03, max_depth=3",test,0.8143,0.7885,0.7915,0.79,0.8336,0.8118
Gradient Boosting,"n_estimators=100, learning_rate=0.05, max_depth=2",validation,0.8562,0.864,0.8383,0.851,0.8612,0.8561
Gradient Boosting,"n_estimators=100, learning_rate=0.05, max_depth=2",test,0.7853,0.7692,0.7336,0.751,0.8114,0.7812
Gradient Boosting,"n_estimators=100, learning_rate=0.05, max_depth=3",validation,0.8604,0.8652,0.8468,0.8559,0.8646,0.8603
Gradient Boosting,"n_estimators=100, learning_rate=0.05, max_depth=3",test,0.816,0.7893,0.7954,0.7923,0.8349,0.8136
Gradient Boosting,"n_estimators=100, learning_rate=0.1, max_depth=2",validation,0.8375,0.8312,0.8383,0.8347,0.8402,0.8375
